Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,CONCEPTSTATUS,CTV3ID,RDF Schema Label,ISPRIMITIVE,PAR,RN,RO,Semantic_Type,SNOMEDID,SY,SYNONYM FN,SYNONYM IS,SYNONYM MTH_FN,SYNONYM MTH_PT,SYNONYM OF,SYNONYM SY,TUI,UMLS_CUI
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#55990000,Inca,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#66920001,0,XUGVD,Inca,1,Amerind (Id: 66920001),,,Population Group,S-63210,,Inca (ethnic group),,,,,,T098,C0337871
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#83365001,Thais,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#24812003,0,XULuG,Thais,1,Mongoloid (Id: 24812003),,,Population Group,S-64210,,Thais (ethnic group),,,,,,T098,C0337910
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#28796001,Siamese,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#24812003,0,XUB3O,Siamese,1,Mongoloid (Id: 24812003),,,Population Group,S-64180,,Siamese (ethnic group),,,,,,T098,C0337907
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#186044009,South East Asian,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,9T1B.,South East Asian,1,Ethnic group (Id: 372148003),,,Population Group,S-60009,South East Asian (Id: 154223008),South East Asian (ethnic group),,,,,,T098,C0238697
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#39764005,Bantu,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18167009,0,Xa6hP,Bantu,1,Black African (Id: 18167009),,,Population Group,S-62020,,Bantu (ethnic group),,,,,,T098,C0337826
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#28562006,Poles,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUB0P,Poles,1,Ethnic group (Id: 372148003),,,Population Group,S-61270,,Poles (ethnic group),,,,,,T098,C0337815
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#40182006,Gypsies,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUDMK,Gypsies,1,Ethnic group (Id: 372148003),,,Population Group,S-61180,Gypsies (Id: 394149000)|Gypsies (Id: 393199009)|Gypsies (Id: 394635008),Gypsies (ethnic group),,,,,Gypsy,T098,C0018422
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#32045009,Georgians,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUBh9,Georgians,1,Ethnic group (Id: 372148003),,,Population Group,S-61150,,Georgians (ethnic group),,,,,,T098,C0337804
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#43890005,Dieguenos,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#66920001,0,XUE7B,Dieguenos,1,Amerind (Id: 66920001),,,Population Group,S-63160,,Dieguenos (ethnic group),,,,,,T098,C0337867
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#23534002,Melanesians,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18575005,0,XUA0P,Melanesians,1,Oceanian (Id: 18575005),,,Population Group,S-65130,,Melanesians (ethnic group),,,,,,T098,C0337924
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#10117001,Finns,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XU0KP,Finns,1,Ethnic group (Id: 372148003),,,Population Group,S-61130,,Finns (ethnic group),,,,,,T098,C0337803
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#186006000,British ethnic minority specified (NMO),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#186005001,0,9SA1.,British ethnic minority specified (NMO),1,Other ethnic non-mixed (NMO) (Id: 186005001),,,Population Group,F-0018C,Brit. ethnic minor. spec.(NMO) (Id: 154183001),British ethnic minority specified (NMO) (ethnic group),Brit. ethnic minor. spec.(NMO),,,,,T098,C0422786
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#9533000,Dutch,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUOSB,Dutch,1,Ethnic group (Id: 372148003),,,Population Group,S-61090,,Dutch (ethnic group),,,,,,T098,C0013331
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#85515006,Eskimo,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#66920001,0,XUMMf,Eskimo,1,Amerind (Id: 66920001),,,Population Group,S-63170,,Eskimo (ethnic group),,,,,,T098,C0014845
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#186013000,Other Asian (NMO),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#186005001,0,9SA8.,Other Asian (NMO),1,Other ethnic non-mixed (NMO) (Id: 186005001),,,Population Group,F-00198,Other Asian (NMO) (Id: 154190006),Other Asian (NMO) (ethnic group),,,,,,T098,C0422793
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#25750005,Admiralty Islanders,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18575005,0,XUARe,Admiralty Islanders,1,Oceanian (Id: 18575005),,,Population Group,S-65010,,Admiralty Islanders (ethnic group),,,,,,T098,C0337913
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#50405005,Senoy,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#24812003,0,XUFOW,Senoy,1,Mongoloid (Id: 24812003),,,Population Group,S-64170,,Senoy (ethnic group),,,,,,T098,C0337906
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#38144004,Athabascans,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#66920001,0,XUCuT,Athabascans,1,Amerind (Id: 66920001),,,Population Group,S-63050,,Athabascans (ethnic group),,,,,,T098,C0337857
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#275601009,Turkish (NMO),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#270467002,0,XM1SH,Turkish (NMO),1,Turkish/Turkish Cypriot (NMO) (Id: 270467002),,Turkish &/or Turkish Cypriot (NMO) (Id: 186016008)|Turkish &/or Turkish Cypriot (NMO) (Id: 154193008),Population Group,F-00862,,Turkish (NMO) (ethnic group),,,,,,T098,C0554967
